qacc	Freq	Species
ASV240	253	Bacillus_megaterium
ASV241	134	Corynebacterium_glutamicum
ASV242	440	Cronobacter_sakazakii
ASV243	335	Klebsiella_pneumoniae
ASV244	197	Bacillus_aryabhattai
ASV245	80	Sphingobium_yanoikuyae
ASV246	379	Bacillus_cereus
ASV247	364	Salmonella_enterica
ASV248	130	Corynebacterium_pseudotuberculosis
ASV249	454	Lactobacillus_brevis
ASV250	379	Bacillus_megaterium
ASV251	322	Klebsiella_pneumoniae
ASV252	205	Acetobacter_pasteurianus
ASV253	129	Salmonella_enterica
ASV254	886	Lactobacillus_plantarum
ASV255	215	Acetobacter_pasteurianus
ASV256	993	Stenotrophomonas_maltophilia
ASV257	325	Porphyromonas_levii
ASV258	130	Corynebacterium_pseudotuberculosis
ASV259	238	Acetobacter_pasteurianus
ASV260	469	Lactobacillus_brevis
ASV261	176	Curtobacterium_flaccumfaciens
ASV262	81	Rhodobacter_sphaeroides
ASV263	694	Lactobacillus_plantarum
ASV264	500	Klebsiella_pneumoniae
ASV265	124	Riemerella_anatipestifer
ASV266	294	Bacillus_megaterium
ASV267	286	Lactobacillus_salivarius
ASV268	548	Cronobacter_sakazakii
ASV269	81	Rhodobacter_sphaeroides
ASV270	887	Enterococcus_faecalis
ASV271	130	Porphyromonas_levii
ASV272	481	Lactobacillus_casei
ASV273	582	Lactobacillus_casei
ASV274	130	Corynebacterium_pseudotuberculosis
ASV275	130	Corynebacterium_pseudotuberculosis
ASV276	908	Lactobacillus_plantarum
ASV277	907	Lactobacillus_plantarum
ASV278	69	Elizabethkingia_meningoseptica
ASV279	469	Lactobacillus_brevis
ASV280	884	Leuconostoc_mesenteroides
ASV281	888	Lactobacillus_plantarum
ASV282	96	Kocuria_rosea
ASV283	544	Lactobacillus_plantarum
ASV284	401	Escherichia_coli
ASV285	157	Flavobacterium_columnare
ASV286	980	Salmonella_enterica
ASV287	134	Corynebacterium_glutamicum
ASV288	269	Weissella_cibaria
ASV289	172	Lactobacillus_rhamnosus
ASV290	975	Salmonella_enterica
ASV291	499	Bacillus_cereus
ASV292	469	Lactobacillus_brevis
ASV293	408	Staphylococcus_epidermidis
ASV294	380	Klebsiella_pneumoniae
ASV295	175	Lactobacillus_rhamnosus
ASV296	238	Klebsiella_pneumoniae
ASV297	218	Klebsiella_pneumoniae
ASV298	264	Weissella_cibaria
ASV299	469	Lactobacillus_brevis
ASV300	911	Lactobacillus_plantarum
ASV301	335	Klebsiella_pneumoniae
ASV302	885	Bacillus_licheniformis
ASV303	239	Klebsiella_pneumoniae
ASV304	142	Comamonas_testosteroni
ASV305	511	Bacillus_pumilus
ASV306	165	Acetobacter_pasteurianus
ASV307	942	Salmonella_enterica
ASV308	130	Corynebacterium_pseudotuberculosis
ASV309	733	Lactobacillus_plantarum
ASV310	285	Lactobacillus_salivarius
ASV311	119	Bacillus_aryabhattai
ASV312	89	Rhodobacter_sphaeroides
ASV313	908	Lactobacillus_plantarum
ASV314	277	Lactobacillus_plantarum
ASV315	141	Arthrobacter_oxydans
ASV316	875	Bacillus_licheniformis
ASV317	928	Salmonella_enterica
ASV318	188	Lysinibacillus_sphaericus
ASV319	320	Enterococcus_faecium
ASV320	356	Lysinibacillus_fusiformis
ASV321	399	Lactobacillus_brevis
ASV322	122	Bacillus_circulans
ASV323	287	Staphylococcus_saprophyticus
ASV324	221	Pseudomonas_fluorescens
ASV325	403	Lactobacillus_plantarum
ASV326	363	Pantoea_agglomerans
ASV327	365	Pantoea_agglomerans
ASV328	197	Propionibacterium_acnes
ASV329	85	Rhodobacter_sphaeroides
ASV330	323	Aeromonas_hydrophila
ASV331	507	Bacillus_cereus
ASV332	202	Burkholderia_pseudomallei
ASV333	223	Acetobacter_pasteurianus
ASV334	306	Pantoea_agglomerans
ASV335	156	Capnocytophaga_canimorsus
ASV336	467	Cronobacter_sakazakii
ASV337	550	Salmonella_enterica
ASV338	230	Porphyromonas_levii
ASV339	481	Lactobacillus_casei
ASV340	546	Salmonella_enterica
ASV341	616	Lactobacillus_plantarum
ASV342	156	Methylobacterium_radiotolerans
ASV343	481	Lactobacillus_casei
ASV344	959	Stenotrophomonas_maltophilia
ASV345	278	Staphylococcus_saprophyticus
ASV346	223	Bacillus_pumilus
ASV347	397	Klebsiella_pneumoniae
ASV348	218	Clostridium_perfringens
ASV349	497	Pseudomonas_putida
ASV350	328	Klebsiella_pneumoniae
ASV351	218	Acetobacter_pasteurianus
ASV352	205	Acetobacter_pasteurianus
ASV353	176	Riemerella_anatipestifer
ASV354	130	Corynebacterium_pseudotuberculosis
ASV355	470	Lactobacillus_brevis
ASV356	174	Lysinibacillus_fusiformis
ASV357	677	Bacillus_licheniformis
ASV358	258	Porphyromonas_levii
ASV359	270	Weissella_cibaria
ASV360	637	Bacillus_licheniformis
ASV361	130	Corynebacterium_pseudotuberculosis
ASV362	429	Staphylococcus_aureus
ASV363	292	Klebsiella_pneumoniae
ASV364	225	Stenotrophomonas_maltophilia
ASV365	148	Comamonas_testosteroni
ASV366	287	Staphylococcus_saprophyticus
ASV367	312	Klebsiella_pneumoniae
ASV368	764	Lactobacillus_helveticus
ASV369	144	Variovorax_paradoxus
ASV370	159	Flavobacterium_columnare
ASV371	827	Staphylococcus_aureus
ASV372	265	Pantoea_agglomerans
ASV373	363	Lactobacillus_casei
ASV374	114	Citrobacter_freundii
ASV375	483	Lactobacillus_casei
ASV376	195	Weissella_cibaria
ASV377	169	Riemerella_anatipestifer
ASV378	315	Achromobacter_xylosoxidans
ASV379	811	Leuconostoc_mesenteroides
ASV380	89	Rhodobacter_sphaeroides
ASV381	258	Ralstonia_solanacearum
ASV382	335	Klebsiella_pneumoniae
ASV383	238	Acetobacter_pasteurianus
ASV384	393	Porphyromonas_levii
ASV385	483	Lactobacillus_casei
ASV386	694	Rhizobium_radiobacter
ASV387	645	Bacillus_licheniformis
ASV388	221	Weissella_cibaria
ASV389	287	Porphyromonas_levii
ASV390	265	Weissella_cibaria
ASV391	267	Weissella_cibaria
ASV392	350	Klebsiella_pneumoniae
ASV393	154	Pseudomonas_fluorescens
ASV394	380	Lactobacillus_brevis
ASV395	185	Mycobacterium_tuberculosis
ASV396	110	Riemerella_anatipestifer
ASV397	453	Stenotrophomonas_maltophilia
ASV398	129	Kocuria_rosea
ASV399	225	Klebsiella_pneumoniae
ASV400	172	Lactobacillus_rhamnosus
ASV401	387	Bacillus_megaterium
ASV402	284	Bacillus_megaterium
ASV403	98	Erwinia_amylovora
ASV404	921	Salmonella_enterica
ASV405	222	Acetobacter_pasteurianus
ASV406	91	Rhodobacter_sphaeroides
ASV407	130	Corynebacterium_pseudotuberculosis
ASV408	445	Salmonella_enterica
ASV409	322	Lactobacillus_plantarum
ASV410	325	Rhodococcus_erythropolis
ASV411	86	Arthrobacter_agilis
ASV412	908	Lactobacillus_plantarum
ASV413	163	Capnocytophaga_canimorsus
ASV414	270	Weissella_cibaria
ASV415	501	Lactobacillus_brevis
ASV416	117	Bacillus_circulans
ASV417	283	Staphylococcus_saprophyticus
ASV418	376	Achromobacter_xylosoxidans
ASV419	280	Staphylococcus_saprophyticus
ASV420	908	Lactobacillus_plantarum
ASV421	264	Bacillus_megaterium
ASV422	540	Bacillus_megaterium
ASV423	313	Klebsiella_pneumoniae
ASV424	898	Lactobacillus_plantarum
ASV425	140	Kocuria_rosea
ASV426	283	Bacillus_megaterium
ASV427	154	Porphyromonas_levii
ASV428	269	Weissella_cibaria
ASV429	81	Sphingobium_yanoikuyae
ASV430	130	Corynebacterium_pseudotuberculosis
ASV431	120	Corynebacterium_glutamicum
ASV432	287	Staphylococcus_saprophyticus
ASV433	306	Klebsiella_pneumoniae
ASV434	238	Acetobacter_pasteurianus
ASV435	159	Flavobacterium_columnare
ASV436	169	Clostridium_perfringens
ASV437	438	Acinetobacter_calcoaceticus
ASV438	204	Acetobacter_pasteurianus
ASV439	256	Klebsiella_pneumoniae
ASV440	810	Leuconostoc_mesenteroides
ASV441	848	Lactobacillus_plantarum
ASV442	215	Acetobacter_pasteurianus
ASV443	174	Lysinibacillus_fusiformis
ASV444	902	Escherichia_coli
ASV445	707	Bacillus_licheniformis
ASV446	124	Flavobacterium_columnare
ASV447	907	Lactobacillus_plantarum
ASV448	322	Klebsiella_pneumoniae
ASV449	117	Staphylococcus_equorum
ASV450	123	Porphyromonas_levii
ASV451	844	Klebsiella_pneumoniae
ASV452	238	Acetobacter_pasteurianus
ASV453	135	Corynebacterium_glutamicum
ASV454	542	Lactobacillus_plantarum
ASV455	589	Lactobacillus_plantarum
ASV456	119	Ornithobacterium_rhinotracheale
ASV457	305	Enterococcus_faecium
ASV458	177	Lactobacillus_rhamnosus
ASV459	908	Lactobacillus_plantarum
ASV460	320	Burkholderia_pseudomallei
ASV461	662	Salmonella_enterica
ASV462	205	Acetobacter_pasteurianus
ASV463	296	Brucella_melitensis
ASV464	780	Bacillus_licheniformis
ASV465	317	Achromobacter_xylosoxidans
ASV466	563	Salmonella_enterica
ASV467	208	Acetobacter_pasteurianus
ASV468	237	Klebsiella_pneumoniae
ASV469	442	Staphylococcus_aureus
ASV470	403	Lactobacillus_plantarum
ASV471	869	Lactobacillus_plantarum
ASV472	241	Klebsiella_pneumoniae
ASV473	268	Lysinibacillus_sphaericus
ASV474	170	Riemerella_anatipestifer
ASV475	89	Rhodobacter_sphaeroides
ASV476	51	Sphingobacterium_multivorum
ASV477	373	Porphyromonas_levii
ASV478	837	Lactobacillus_plantarum
ASV479	313	Klebsiella_pneumoniae
ASV480	171	Acetobacter_pasteurianus
ASV481	414	Salmonella_enterica
ASV482	134	Corynebacterium_glutamicum
ASV483	985	Salmonella_enterica
ASV484	377	Burkholderia_pseudomallei
ASV485	179	Polynucleobacter_cosmopolitanus
ASV486	301	Enterococcus_faecium
ASV487	502	Lactobacillus_brevis
ASV488	70	Elizabethkingia_meningoseptica
ASV489	73	Porphyromonas_levii
ASV490	643	Cronobacter_sakazakii
ASV491	398	Bacillus_pumilus
ASV492	811	Leuconostoc_mesenteroides
ASV493	565	Bacillus_licheniformis
ASV494	457	Klebsiella_pneumoniae
ASV495	885	Bacillus_licheniformis
ASV496	81	Sphingobium_yanoikuyae
ASV497	614	Bacillus_megaterium
ASV498	437	Lactobacillus_brevis
ASV499	240	Weissella_cibaria
ASV500	665	Pseudomonas_putida
ASV501	305	Klebsiella_pneumoniae
ASV502	388	Ensifer_meliloti
ASV503	353	Staphylococcus_aureus
ASV504	389	Bacillus_megaterium
ASV505	863	Lactobacillus_plantarum
ASV506	272	Bacillus_firmus
ASV507	121	Kocuria_rosea
ASV508	186	Enterobacter_cloacae
ASV509	475	Salmonella_enterica
ASV510	502	Lactobacillus_brevis
ASV511	496	Lactobacillus_brevis
ASV512	448	Lactobacillus_brevis
ASV513	780	Bacillus_licheniformis
ASV514	921	Salmonella_enterica
ASV515	93	Rhodobacter_sphaeroides
ASV516	492	Lactobacillus_brevis
ASV517	507	Rhizobium_leguminosarum
ASV518	130	Corynebacterium_pseudotuberculosis
ASV519	208	Acetobacter_pasteurianus
ASV520	906	Lactobacillus_plantarum
ASV521	174	Riemerella_anatipestifer
ASV522	243	Lactobacillus_plantarum
ASV523	832	Lactobacillus_plantarum
ASV524	911	Lactobacillus_plantarum
ASV525	770	Lactobacillus_plantarum
ASV526	907	Lactobacillus_plantarum
ASV527	296	Brucella_melitensis
